                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.53507,                  0.322,                 1.0124,                0.59948,                0.28956,                 1.0346,                0.96941,                 0.9586,                0.99089,                0.87879,                0.47261,                0.25416,                 0.9966,                0.49651,                0.22701,                 1.0132,              0.0056935,              0.0056935,              0.0056935
                     90,                0.53974,                0.31902,                 1.0136,                0.60574,                0.29038,                 1.0344,                0.96101,                0.96567,                0.99072,                0.87893,                 0.4644,                0.25698,                0.99001,                0.49194,                0.21879,                 1.0059,               0.005644,               0.005644,               0.005644
                     91,                0.53843,                0.31796,                 1.0087,                0.60842,                0.28316,                 1.0317,                0.96854,                0.95736,                0.99112,                0.88233,                0.46133,                0.24907,                0.98874,                0.48879,                0.21312,                  1.008,              0.0055945,              0.0055945,              0.0055945
                     92,                0.52953,                 0.3141,                 1.0044,                0.59288,                0.27358,                 1.0258,                 0.9784,                0.95536,                0.99158,                0.88487,                0.46604,                0.25011,                0.99447,                0.48531,                0.21089,                 1.0064,               0.005545,               0.005545,               0.005545
                     93,                0.53806,                0.31601,                 1.0111,                0.60523,                0.27547,                 1.0354,                0.95871,                 0.9808,                0.99195,                0.88852,                0.46123,                0.24388,                0.98633,                0.47583,                0.19472,                0.99527,              0.0054955,              0.0054955,              0.0054955
                     94,                0.52768,                 0.3149,                 1.0061,                0.59161,                0.28075,                 1.0285,                 0.9728,                0.96543,                0.99049,                0.88506,                0.46394,                 0.2482,                0.98995,                0.48759,                0.21029,                 1.0028,               0.005446,               0.005446,               0.005446
                     95,                0.52974,                0.31482,                 1.0041,                0.59225,                0.27353,                 1.0217,                0.96008,                0.97069,                0.99224,                0.88581,                0.46487,                0.24837,                0.98821,                0.48119,                0.20868,                0.99928,              0.0053965,              0.0053965,              0.0053965
                     96,                0.53571,                0.31281,                 1.0091,                0.60017,                0.27285,                 1.0304,                0.98231,                0.97119,                0.99258,                0.88129,                0.46695,                0.24997,                0.99242,                0.48333,                0.19646,                 1.0023,               0.005347,               0.005347,               0.005347
                     97,                0.53171,                0.31865,                 1.0072,                0.59695,                0.27894,                 1.0273,                0.96506,                0.97634,                0.99138,                 0.8843,                0.46502,                0.25062,                0.98867,                0.48186,                0.19564,                  1.001,              0.0052975,              0.0052975,              0.0052975
                     98,                0.53021,                0.30763,                 1.0017,                0.59186,                0.26554,                  1.022,                0.97564,                0.97419,                0.99264,                0.88739,                0.46504,                  0.252,                0.98691,                0.48053,                0.20237,                0.99728,               0.005248,               0.005248,               0.005248
                     99,                0.53105,                  0.309,                0.99838,                0.59288,                0.26044,                 1.0159,                 0.9758,                0.97884,                0.99384,                0.88869,                0.46191,                0.24747,                0.98705,                 0.4766,                 0.1976,                0.99612,              0.0051985,              0.0051985,              0.0051985
                    100,                0.52215,                0.30562,                  1.001,                  0.578,                0.25557,                 1.0211,                0.95176,                0.97335,                0.98969,                0.88831,                0.45985,                0.24447,                0.98356,                0.47949,                0.21899,                 0.9933,               0.005149,               0.005149,               0.005149
                    101,                0.52526,                0.30987,                0.99512,                0.59032,                0.27494,                 1.0143,                0.97022,                0.96933,                0.99164,                0.88206,                0.45962,                0.24668,                0.98797,                0.48256,                0.20962,                0.99985,              0.0050995,              0.0050995,              0.0050995
                    102,                0.52621,                0.30717,                 1.0089,                0.58651,                0.27648,                 1.0297,                0.97986,                0.96543,                 0.9921,                0.88302,                0.45792,                0.24769,                0.98551,                0.47307,                0.20682,                 0.9944,                0.00505,                0.00505,                0.00505
                    103,                0.52432,                 0.3051,                 1.0017,                0.58813,                0.26829,                 1.0245,                0.97456,                0.97555,                0.99249,                0.88513,                0.46141,                0.24662,                0.98492,                0.48139,                0.19934,                0.99298,              0.0050005,              0.0050005,              0.0050005
